loan_id,scenario_id,month,expected_credit_loss,prob_PERFORMING,prob_MODIFIED_REPERFORMING,prob_NON_MODIFIED_REPERFORMING,prob_REPERFORMING,prob_LIGHT_DELINQUENT,prob_SERIOUSLY_DELINQUENT,prob_DEEPLY_DELINQUENT,prob_PREPAY,prob_DEFAULT
1,Normal,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Normal,2,5.052215263344049,0.9696,0.0,0.0,0.0,0.010400000000000001,0.0,0.0,0.02,0.0
1,Normal,3,7.554912283605413,0.9401550943968096,0.0,0.0,0.0059742577068793625,0.010052905603190429,0.0041600000000000005,0.0,0.039496,0.00016174229312063812
1,Normal,4,9.577629069394517,0.9170110518931994,0.0,0.0,0.007769350336636748,0.010315198322553377,0.004021162241276172,0.0020800000000000003,0.0583996309439681,0.00040360626236624216
1,Normal,5,10.707686229982064,0.8962136641612415,0.0,0.0,0.008621928636802636,0.010226517030730783,0.004126079329021351,0.003258581120638086,0.07684300396505762,0.0007102257565081845
1,Normal,6,11.305993547577234,0.8768420243887983,0.0,0.0,0.00905731986613033,0.010069295126020951,0.004090606812292313,0.004018188336893527,0.09486954241858976,0.0010530230512749259
1,Normal,7,11.563154810894964,0.8584761021928882,0.0,0.0,0.009231511280243318,0.009886401574264571,0.004027718050408381,0.004456216408282272,0.11250707585762594,0.001414974636287536
1,Normal,8,11.608130673704055,0.8408490887727837,0.0,0.0,0.009259138137345956,0.009689002656490045,0.0039545606297058285,0.004687588870173554,0.12977546191722636,0.0017851590162747766
1,Normal,9,11.523522100216281,0.8238055024728591,0.0,0.0,0.009197203186995014,0.00948574266181497,0.003875601062596018,0.004789833636957046,0.14668933371924694,0.0021567832595312253
1,Normal,10,11.360830932819399,0.8072459292296478,0.0,0.0,0.00908140658344885,0.00928066638074925,0.003794297064725988,0.0048117007134722365,0.16326030119532228,0.0025256988326340353
1,Normal,11,11.152251942513741,0.7911061417578632,0.0,0.0,0.008933714826017985,0.009076275470640396,0.0037122665522997,0.004784168960446335,0.17949802644372273,0.0028894059890099957
1,Normal,12,10.917815691542902,0.7753436678393162,0.0,0.0,0.00876777370723855,0.008874065909407725,0.003630510188256159,0.0047266346524176515,0.1954109120335864,0.0032464356697776632
1,Normal,13,10.669956546041853,0.7599296394865188,0.0,0.0,0.008592083434277155,0.008674928703249605,0.00354962636376309,0.00465123588557867,0.2110065260494668,0.003595960077146206
1,Normal,14,10.41636631157133,0.7448437478505237,0.0,0.0,0.008411926059396207,0.008479382280541924,0.003469971481299842,0.004565554713228747,0.22629186812622967,0.003937549488780279
1,Normal,15,10.161777327128712,0.7300710862672368,0.0,0.0,0.008230572231408025,0.008287712685672508,0.0033917529122167696,0.004474318568587169,0.24127353690604555,0.004271020428833408
1,Normal,16,9.909076092038266,0.7156001753120108,0.0,0.0,0.008050033873732628,0.008100061461289193,0.003315085074269003,0.004380467597260686,0.25595783575824704,0.004596340923190812
1,Normal,17,9.659998450603265,0.701421725226682,0.0,0.0,0.007871535354878242,0.007916480452821253,0.0032400245845156774,0.004285823095490913,0.27035083987910014,0.004913571406511969
1,Normal,18,9.415563570277891,0.6875278599456732,0.0,0.0,0.007695808519123364,0.007736966131353411,0.0031665921811285013,0.004191506149552386,0.284458439188162,0.005222827885007348
1,Normal,19,9.176344844149762,0.6739116301768278,0.0,0.0,0.0075232774602408715,0.007561481089055418,0.0030947864525413646,0.0040981997802956825,0.298286366048389,0.005524258992650194
1,Normal,20,8.94263898877797,0.6605667075361411,0.0,0.0,0.007354174253485328,0.007389967497390923,0.0030245924356221672,0.004006313094448092,0.3118402134628161,0.0058180317200965176
1,Normal,21,8.71457158515974,0.6474871921113118,0.0,0.0,0.007188611442021666,0.007222355527591841,0.0029559869989563693,0.003916084074479939,0.32512544728851284,0.006104322557125817
1,Normal,22,8.492162939142466,0.6346674910985207,0.0,0.0,0.00702662743379078,0.007058568612586398,0.0028889422110367365,0.003827643944166148,0.338147414686015,0.006383312013884384
1,Normal,23,8.275369166959317,0.6221022419817283,0.0,0.0,0.006868214927902575,0.006898526728612924,0.0028234274450345594,0.003741057472018057,0.3509113501941113,0.0066551812505926105
1,Normal,24,8.064107811817747,0.6097862636346982,0.0,0.0,0.006713338709228607,0.0067421484352980935,0.0027594106914451697,0.0036563482057281136,0.36342238030103197,0.006920110022570131
1,Normal,25,7.8582738017872575,0.5977145249337509,0.0,0.0,0.00656194678205601,0.006589352137481978,0.0026968593741192376,0.003573514269159453,0.3756855270580789,0.0071782754453538255
1,Normal,26,7.6577493768894325,0.5858821243578061,0.0,0.0,0.00641397733049781,0.006440056859325817,0.002635740854992791,0.0034925382485552904,0.38770571107812873,0.007429851270693782
1,Normal,27,7.462410250777573,0.5742842764882369,0.0,0.0,0.0062693630642580885,0.006294182712910904,0.0025760227437303268,0.00341339337662957,0.3994877541338781,0.007675007480356436
1,Normal,28,7.272129421671324,0.5629163028471279,0.0,0.0,0.006128033926302313,0.006151651175602371,0.0025176730851643615,0.0033360473978429053,0.41103638149077193,0.007913910077188547
1,Normal,29,7.0867795160073,0.551773625468642,0.0,0.0,0.005989918774328345,0.006012385247845718,0.0024606604702409485,0.003260464981287924,0.4223562240594705,0.008146720998184944
1,Normal,30,6.906234216553248,0.5408517621972553,0.0,0.0,0.005854946419463349,0.005876309536342074,0.0024049540991382874,0.0031866092238932286,0.4334518204213218,0.008373598102586212
